SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,0,-1.2773538915070082,0,1,-1.1602405389153638,-0.9941713491089545,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0.06632271016745371,1,0,-0.25961050958946036,-0.17323182628376238,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,0,0,-1.2366364187289942,1,1,-0.36263460888504345,-0.9596059391462127,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0.5142149107256077,0,0,-0.7464824627121354,-0.19475243593489464,0,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,0,-1.2366364187289942,1,1,0.19735122115707743,-0.9404029336113563,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,-0.9923315820609102,1,1,1.1594633742561515,-0.6451401691978217,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,1,-0.4222869631687143,1,1,0.8088491008469896,-0.14678906693806343,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0,0,-0.9108966365048822,0,0,-1.163563896957157,-0.8740753110455589,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,-0.17798212650063028,1,1,1.330616313408491,0.337325324321715,1,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,1.2064119479518456,1,0,-0.2861973739238045,0.5324013736516707,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1,1,-0.7887442181708402,1,1,-0.4922455725149705,-0.7480197195403113,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,-0.6665917998367983,1,0,-1.522486565470801,-0.8630832458083653,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,1,0,1.0435420568397897,1,0,1.1827268805487023,1.5005639389107628,0,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,0,0.6770848018376636,1,1,1.294059374948768,1.2159180085917867,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,0,0,-0.3001345448346723,1,1,1.353879819701042,0.17840389920566138,0,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,1,1,1.4914342573979436,1,0,1.6114400679399996,2.4779527757946473,0,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0.7992372201717056,1,0,-1.4659894787603203,-0.5557689399901965,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,1.5728692029539715,1,0,1.3937601162025581,2.2515338898445814,0,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
0,1,1,-0.9108966365048822,1,0,-0.3177692753208379,-0.7741093201635302,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,0,-0.46300443594672824,1,1,0.8404210022440232,-0.18497435380622632,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,0,-1.2773538915070082,0,1,-0.8345514508196499,-0.9898451547585729,1,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,1,0,-0.8294616909488542,1,0,-1.4942380221155607,-0.9180656444144888,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,0,0,-1.2773538915070082,1,0,-1.4826062689692852,-0.9984533986190258,1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,0,1.0435420568397897,1,1,-0.16157144735656692,0.5399722137648383,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
0,1,1,0.6770848018376636,1,0,-0.17154152148194582,0.30388560778687873,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,-0.09654718094460228,1,1,-0.3144459172790451,-0.3316676581564059,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,1,0.5956498562816357,1,1,1.1494933001307723,1.0891560996415786,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,1,-1.2773538915070082,0,0,-1.1486087857690883,-0.9940168421678695,1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,0,1.6135866757319857,1,1,0.8470677183276092,1.80443494718475,0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
